Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg▼,DRtg
1,Rayjon Tucker\tuckera01,F,23,PHI,3,0,9,5.3,5.3,1.000,5.3,5.3,1.000,0.0,0.0,,31.8,31.8,1.000,0.0,10.6,10.6,5.3,0.0,0.0,0.0,10.6,47.7,,258,111
2,Patrick McCaw\mccawpa01,SF,25,TOR,5,0,33,1.5,1.5,1.000,0.0,0.0,,1.5,1.5,1.000,4.4,4.4,1.000,1.5,2.9,4.4,5.8,2.9,0.0,0.0,8.8,7.3,,234,114
3,Cameron Reynolds\reynoca01,G,25,SAS,2,0,4,12.1,12.1,1.000,0.0,0.0,,12.1,12.1,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,,200,120
4,Alize Johnson\johnsal02,F,24,BRK,1,0,33,16.0,21.9,.733,0.0,1.5,.000,16.0,20.4,.786,1.5,1.5,1.000,7.3,14.6,21.9,4.4,2.9,0.0,1.5,1.5,33.6,,150,108
5,Tony Bradley\bradlto01,C,23,TOT,21,8,301,8.6,12.4,.692,0.0,0.2,.000,8.6,12.2,.701,1.4,2.1,.692,6.5,10.8,17.3,2.9,1.1,2.1,1.6,4.9,18.6,,142,106
6,Derrick Favors\favorde01,C,29,UTA,44,0,694,7.4,11.6,.639,0.0,0.1,.000,7.4,11.5,.642,3.4,4.5,.738,6.6,10.4,16.9,2.6,1.6,3.1,1.8,7.0,18.2,,139,104
7,Robert Williams\williro04,C,23,BOS,40,3,721,9.2,12.8,.714,0.0,0.1,.000,9.2,12.8,.718,2.6,4.0,.644,6.8,11.5,18.3,4.2,2.4,5.0,2.7,5.3,20.9,,138,104
8,Jaxson Hayes\hayesja02,C,20,NOP,34,1,455,7.7,10.6,.727,0.0,0.0,,7.7,10.6,.727,4.2,5.5,.765,4.0,8.6,12.5,1.9,1.2,1.7,2.4,6.5,19.6,,137,114
9,Joe Ingles\inglejo01,SF,33,UTA,42,11,1115,7.5,14.0,.536,4.9,10.0,.491,2.6,4.0,.648,2.0,2.3,.868,0.8,5.9,6.7,7.9,1.2,0.4,2.7,3.1,21.9,,137,111
10,Ivica Zubac\zubaciv01,C,23,LAC,49,10,1045,7.8,12.2,.640,0.0,0.1,.000,7.8,12.0,.647,4.5,5.4,.826,6.4,10.6,17.0,2.6,1.0,2.1,2.6,5.9,20.1,,136,109
11,Tony Snell\snellto01,SG,29,ATL,34,17,688,4.7,9.0,.516,3.5,6.2,.570,1.1,2.9,.400,0.3,0.3,1.000,0.9,4.5,5.5,3.4,0.4,0.6,1.2,3.5,13.1,,135,118
12,Cristiano Felício\feliccr01,C,28,CHI,9,0,43,3.3,4.4,.750,0.0,0.0,,3.3,4.4,.750,6.7,11.1,.600,6.7,7.8,14.4,5.5,2.2,0.0,3.3,3.3,13.3,,134,111
13,Enes Kanter\kanteen01,C,28,POR,46,32,1226,9.5,15.7,.605,0.0,0.0,.000,9.5,15.6,.606,3.6,4.6,.781,8.0,13.5,21.5,2.3,1.0,1.3,2.2,4.8,22.5,,134,114
14,Kevon Looney\looneke01,C,24,GSW,36,15,553,4.9,8.3,.592,0.3,0.8,.444,4.6,7.5,.607,1.7,2.3,.741,4.9,7.4,12.4,5.4,1.3,1.2,1.9,6.0,11.8,,134,111
15,Garrison Mathews\mathega01,SG,24,WAS,40,21,731,4.7,11.0,.431,3.7,8.8,.414,1.1,2.1,.500,3.8,4.3,.882,0.9,3.2,4.1,1.3,1.5,0.4,0.4,4.7,16.9,,134,116
16,Richaun Holmes\holmeri01,C,27,SAC,43,43,1307,9.6,14.9,.647,0.1,0.3,.250,9.6,14.6,.655,3.4,4.2,.807,4.2,10.1,14.2,2.8,1.1,2.7,1.9,5.9,22.7,,133,115
17,Thon Maker\makerth01,C,23,CLE,8,0,76,6.5,11.7,.556,0.0,1.3,.000,6.5,10.4,.625,6.5,7.1,.909,5.2,6.5,11.7,2.6,1.3,2.6,1.9,4.5,19.5,,133,112
18,Jarrett Allen\allenja01,C,22,TOT,44,26,1262,8.1,12.8,.633,0.2,0.5,.417,7.9,12.3,.642,5.9,8.4,.704,5.2,11.7,16.9,2.9,0.8,2.9,2.5,2.7,22.3,,131,110
19,Thomas Bryant\bryanth01,C,23,WAS,10,10,271,10.0,15.5,.648,1.5,3.6,.429,8.5,11.9,.714,2.7,4.1,.667,3.1,7.3,10.4,2.5,0.7,1.4,1.9,5.3,24.3,,131,115
20,Nikola Jokić\jokicni01,C,25,DEN,47,47,1675,14.7,25.8,.571,2.1,4.9,.425,12.6,20.8,.605,5.8,6.7,.867,4.1,11.4,15.4,11.8,2.2,0.9,4.2,3.7,37.3,,131,109
21,Mitchell Robinson\robinmi01,C,22,NYK,31,29,853,6.7,10.3,.653,0.0,0.0,,6.7,10.3,.653,1.5,3.1,.491,6.6,8.1,14.8,1.0,2.0,2.6,1.5,5.0,15.0,,131,105
22,Willie Cauley-Stein\caulewi01,C,27,DAL,35,11,599,6.5,10.4,.622,0.1,0.7,.125,6.4,9.8,.655,2.7,4.1,.660,3.3,9.0,12.3,2.1,0.9,2.3,1.3,6.6,15.8,,130,111
23,Tacko Fall\fallta01,C,25,BOS,12,0,82,9.6,13.1,.727,0.0,0.0,,9.6,13.1,.727,1.8,6.6,.273,5.4,12.5,17.9,1.2,0.0,6.0,1.2,7.8,20.9,,130,107
24,Rudy Gobert\goberru01,C,28,UTA,46,46,1414,8.8,13.5,.650,0.0,0.1,.000,8.8,13.4,.655,5.7,9.2,.616,5.5,15.7,21.1,1.9,0.8,4.7,2.5,3.7,23.3,,130,101
25,Chris Boucher\bouchch01,C,28,TOR,47,3,1092,9.8,18.5,.530,3.1,7.5,.409,6.7,10.9,.613,5.1,6.6,.767,3.9,9.3,13.2,1.9,1.0,4.0,1.5,5.6,27.8,,129,109
26,Mikal Bridges\bridgmi01,SF,24,PHO,46,46,1502,7.5,14.2,.528,2.7,6.5,.411,4.8,7.7,.626,2.5,3.0,.835,1.9,5.5,7.4,3.6,1.4,1.3,1.3,2.3,20.2,,129,110
27,Montrezl Harrell\harremo01,C,27,LAL,47,1,1190,11.9,18.7,.638,0.0,0.4,.000,11.9,18.3,.650,5.3,7.5,.697,4.9,8.2,13.1,2.1,1.4,1.5,2.2,3.9,29.1,,129,105
28,Maxi Kleber\klebima01,PF,29,DAL,33,27,916,4.4,10.0,.441,3.4,7.6,.444,1.0,2.4,.432,1.6,1.7,.935,1.7,8.2,9.8,2.4,0.8,1.4,1.0,4.1,13.7,,129,113
29,Brian Bowen\bowenbr02,SF,22,IND,3,0,8,6.0,12.0,.500,0.0,0.0,,6.0,12.0,.500,6.0,6.0,1.000,0.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,17.9,,128,117
30,Daniel Gafford\gaffoda01,PF,22,TOT,33,11,411,8.1,11.6,.700,0.0,0.0,,8.1,11.6,.700,3.6,5.3,.674,5.7,7.5,13.2,2.0,1.4,4.5,2.9,6.5,19.8,,128,107
31,Joe Harris\harrijo01,SF,29,BRK,47,43,1442,8.0,15.7,.510,5.0,10.4,.486,3.0,5.3,.556,1.0,1.4,.721,0.8,4.6,5.4,2.7,1.0,0.3,1.3,3.3,22.1,,128,117
32,Damian Jones\jonesda03,C,25,TOT,22,6,206,5.7,7.8,.727,0.0,0.2,.000,5.7,7.6,.750,4.0,5.5,.739,3.6,6.9,10.5,1.2,0.5,2.9,2.6,9.7,15.4,,128,107
33,Darius Miller\milleda01,SF,30,OKC,14,0,145,4.6,10.2,.452,3.6,8.9,.407,1.0,1.3,.750,3.0,3.0,1.000,0.3,5.9,6.3,5.3,3.0,1.3,2.0,3.0,15.9,,128,108
34,Zeke Nnaji\nnajize01,PF,20,DEN,31,1,325,6.6,12.5,.524,2.9,7.0,.413,3.7,5.5,.667,1.8,2.3,.800,2.0,5.9,7.9,0.8,0.6,0.5,1.1,3.5,17.8,,128,116
35,Cassius Winston\winstca01,PG,22,WAS,11,0,68,4.7,12.2,.389,4.1,8.1,.500,0.7,4.1,.167,1.4,1.4,1.000,0.0,4.7,4.7,6.8,1.4,0.7,0.7,3.4,14.9,,128,116
36,Nicolas Batum\batumni01,SF,32,LAC,46,38,1324,5.0,10.8,.462,3.1,7.3,.421,1.9,3.5,.548,1.5,1.7,.848,1.4,7.0,8.4,4.1,1.9,0.6,1.4,2.8,14.5,,127,111
37,Pat Connaughton\connapa01,SG,28,MIL,43,1,983,5.1,11.2,.455,3.1,7.6,.411,2.0,3.6,.547,1.0,1.2,.769,2.2,7.6,9.7,2.9,1.5,0.8,1.0,3.4,14.3,,127,111
38,Gorgui Dieng\dienggo01,C,31,MEM,22,1,371,7.2,13.9,.519,3.0,6.2,.479,4.2,7.7,.550,4.9,5.5,.884,3.6,9.0,12.6,3.7,2.2,1.8,2.8,4.9,22.2,,127,107
