Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHO,Deandre Ayton,Arizona,3,155,4824,2527,1672,266,.580,.206,.752,31.1,16.3,10.8,1.7,14.5,.144,0.3,2.8
2,2,SAC,Marvin Bagley III,Duke,3,112,2852,1621,843,107,.499,.318,.664,25.5,14.5,7.5,1.0,5.1,.086,-2.1,-0.1
3,3,ATL,Luka Dončić,,3,173,5766,4426,1461,1327,.455,.332,.740,33.3,25.6,8.4,7.7,18.8,.157,6.4,12.2
4,4,MEM,Jaren Jackson Jr.,Michigan State,2,115,3137,1788,534,142,.485,.384,.757,27.3,15.5,4.6,1.2,6.8,.104,0.1,1.7
5,5,DAL,Trae Young,Oklahoma,3,186,6171,4471,736,1641,.429,.347,.855,33.2,24.0,4.0,8.8,14.3,.112,2.1,6.3
6,6,ORL,Mo Bamba,Texas,3,134,1926,759,640,91,.469,.323,.620,14.4,5.7,4.8,0.7,4.8,.120,-0.4,0.8
7,7,CHI,Wendell Carter Jr.,Duke,3,121,3196,1306,976,201,.512,.247,.753,26.4,10.8,8.1,1.7,7.5,.113,-1.7,0.2
8,8,CLE,Collin Sexton,Alabama,3,187,6187,3677,554,603,.457,.388,.831,33.1,19.7,3.0,3.2,4.3,.033,-2.7,-1.1
9,9,NYK,Kevin Knox,Kentucky,3,172,3752,1528,572,160,.369,.344,.703,21.8,8.9,3.3,0.9,-0.7,-.009,-4.8,-2.7
10,10,PHI,Mikal Bridges,Villanova,3,201,5961,1964,782,411,.485,.364,.828,29.7,9.8,3.9,2.0,13.0,.105,0.4,3.7
11,11,CHO,Shai Gilgeous-Alexander,Kentucky,3,187,5782,3050,810,709,.482,.373,.805,30.9,16.3,4.3,3.8,13.3,.110,1.3,4.8
12,12,LAC,Miles Bridges,Michigan State,3,191,4911,1885,947,300,.452,.337,.811,25.7,9.9,5.0,1.6,6.8,.066,-1.6,0.5
13,13,LAC,Jerome Robinson,Boston College,3,112,1595,514,207,130,.365,.311,.721,14.2,4.6,1.8,1.2,-0.1,-.002,-4.7,-1.1
14,14,DEN,Michael Porter Jr.,Missouri,2,92,2006,1124,537,84,.522,.438,.779,21.8,12.2,5.8,0.9,6.7,.161,1.9,1.9
15,15,WAS,Troy Brown Jr.,Oregon,3,144,2829,1067,591,280,.428,.331,.750,19.6,7.4,4.1,1.9,3.0,.051,-2.1,0.0
16,16,PHO,Zhaire Smith,Texas Tech,2,13,143,48,15,12,.378,.316,.667,11.0,3.7,1.2,0.9,0.0,.011,-6.1,-0.2
17,17,MIL,Donte DiVincenzo,Villanova,3,138,3159,1218,627,321,.435,.345,.715,22.9,8.8,4.5,2.3,7.3,.111,0.3,1.8
18,18,SAS,Lonnie Walker,Miami (FL),3,115,2074,861,259,138,.421,.375,.752,18.0,7.5,2.3,1.2,0.9,.020,-3.5,-0.8
